Cтартер 1000 | Доп. свечи 0 |  Таймер 5 мин. |  при температуре 85.00
Cтартер 1000 | Доп. свечи 0 |  Таймер 5 мин. |  при температуре 82.00
Cтартер 1000 | Доп. свечи 0 |  Таймер 5 мин. |  при температуре 79.00
Cтартер 1000 | Доп. свечи 0 |  Таймер 5 мин. |  при температуре 76.00
Cтартер 1000 | Доп. свечи 0 |  Таймер 5 мин. |  при температуре 73.00
Cтартер 1000 | Доп. свечи 0 |  Таймер 5 мин. |  при температуре 70.00
Cтартер 1000 | Доп. свечи 0 |  Таймер 5 мин. |  при температуре 67.00
Cтартер 1000 | Доп. свечи 0 |  Таймер 5 мин. |  при температуре 64.00
Cтартер 1000 | Доп. свечи 0 |  Таймер 5 мин. |  при температуре 61.00
Cтартер 1000 | Доп. свечи 0 |  Таймер 5 мин. |  при температуре 58.00
Cтартер 1000 | Доп. свечи 0 |  Таймер 5 мин. |  при температуре 55.00
Cтартер 1000 | Доп. свечи 0 |  Таймер 5 мин. |  при температуре 52.00
Cтартер 1000 | Доп. свечи 0 |  Таймер 5 мин. |  при температуре 49.00
Cтартер 1000 | Доп. свечи 0 |  Таймер 5 мин. |  при температуре 46.00
Cтартер 1000 | Доп. свечи 0 |  Таймер 5 мин. |  при температуре 43.00
Cтартер 1000 | Доп. свечи 0 |  Таймер 5 мин. |  при температуре 40.00
Cтартер 1000 | Доп. свечи 0 |  Таймер 5 мин. |  при температуре 37.00
Cтартер 1000 | Доп. свечи 0 |  Таймер 5 мин. |  при температуре 34.00
Cтартер 1000 | Доп. свечи 0 |  Таймер 5 мин. |  при температуре 31.00
Cтартер 1000 | Доп. свечи 0 |  Таймер 5 мин. |  при температуре 28.00
Cтартер 1000 | Доп. свечи 0 |  Таймер 6 мин. |  при температуре 25.00
Cтартер 1000 | Доп. свечи 0 |  Таймер 7 мин. |  при температуре 22.00
Cтартер 1114 | Доп. свечи 0 |  Таймер 9 мин. |  при температуре 19.00
Cтартер 1457 | Доп. свечи 0 |  Таймер 10 мин. |  при температуре 16.00
Cтартер 1800 | Доп. свечи 0 |  Таймер 11 мин. |  при температуре 13.00
Cтартер 2142 | Доп. свечи 0 |  Таймер 12 мин. |  при температуре 10.00
Cтартер 2485 | Доп. свечи 0 |  Таймер 13 мин. |  при температуре 7.00
Cтартер 2828 | Доп. свечи 0 |  Таймер 14 мин. |  при температуре 4.00
Cтартер 3171 | Доп. свечи 0 |  Таймер 15 мин. |  при температуре 1.00
Cтартер 3514 | Доп. свечи 0 |  Таймер 16 мин. |  при температуре -2.00
Cтартер 3857 | Доп. свечи 1 |  Таймер 17 мин. |  при температуре -5.00
Cтартер 4200 | Доп. свечи 1 |  Таймер 18 мин. |  при температуре -8.00
Cтартер 4542 | Доп. свечи 2 |  Таймер 19 мин. |  при температуре -11.00
Cтартер 4885 | Доп. свечи 2 |  Таймер 21 мин. |  при температуре -14.00
Cтартер 5228 | Доп. свечи 3 |  Таймер 22 мин. |  при температуре -17.00
Cтартер 5571 | Доп. свечи 4 |  Таймер 23 мин. |  при температуре -20.00
Cтартер 5914 | Доп. свечи 4 |  Таймер 24 мин. |  при температуре -23.00
Cтартер 6000 | Доп. свечи 5 |  Таймер 25 мин. |  при температуре -26.00
Cтартер 6000 | Доп. свечи 5 |  Таймер 26 мин. |  при температуре -29.00
